Name,Address,Bedroom,Bathroom,Total_area,Price
Dijual Condovilla Apple 5 Siaga Raya Pejaten bs KPR 598 jt an 1KT - 3KT,"Pejaten, Jakarta Selatan",1,1,26 m²," 598,000,000"
apartemen gandeng 2 unit springhill terrace residence,"Pademangan Timur, Jakarta Utara",3,3,190 m²," 3,000,000,000"
"Apartemen Centra Timur,tower Kuning, Penggilingan Cakung",Jakarta Timur,2,1,33 m²," 375,000,000"
Dijual CEPAT 3BR Kondominium Taman Anggrek,Jakarta Barat,3,2,146 m²," 2,500,000,000"
Apartemen 2 Kamar Nyaman Sudah Renovasi Siap Huni,"Senen, Jakarta Pusat",2,1,55 m²," 975,000,000"
Low Rise 3 Bedrooms Unit in Center of Kemang is Offered to New Owner,"Kemang, Jakarta Selatan",3,2,189 m²," 4,800,000,000"
Apartemen Setiabudi Sky Garden Jual/Sewa,"Kuningan, Jakarta Selatan",3,2,136 m²," 4,800,000,000"
apartemen green bay view laut,"Pluit, Jakarta Utara",2,1,36 m²," 500,000,000"
APARTMEN GADING NIAS  2BEDROOM,"Kelapa Gading, Jakarta Utara",2,1,35 m²," 350,000,000"
APARTEMEN SIAP HUNI FREE BIAYA AKAD DI JAKARTA BARAT,"Cengkareng Timur, Jakarta Barat",1,1,31 m²," 500,000,000"
Dijual 3BR Furnished Apartemen Thamrin Residence Jakarta Pusat,"Kebon Kacang, Jakarta Pusat",3,2,105 m²," 2,350,000,000"
Jual Cepat Gandaria Heights_murah,"Gandaria, Jakarta Selatan",4,2,117 m²," 5,000,000,000"
Jual Murah Arya Duta Semanggi Jakarta,"Karet Semanggi, Jakarta Selatan",3,3,110 m²," 2,300,000,000"
apartemen city park dengan 2 BR harga super murah,"Cengkareng, Jakarta Barat",2,1,33 m²," 200,000,000"
Apartemen Sudirman Tower Condominium 2BR Murah,"SetiaBudi, Jakarta Selatan",2,2,78 m²," 1,900,000,000"
Ambassador Tower lantai 20 Semi Furnished TERMURAH (2kamar) St Moritz Puri indah,"Puri Indah, Jakarta Barat",2,2,113 m²," 2,700,000,000"
Apartemen 2 tingkat di jakarta Pusat Springhill Royale Suites,"Kemayoran, Jakarta Pusat",2,3,140 m²," 3,500,000,000"
"Apt Thamrin Residence dijual Murah Nilai NJOP:1,325 M","Thamrin, Jakarta Pusat",2,1,58 m²," 1,325,000,000"
Dijual Apartemen Studio Bassura City Tower Jasmine Bersih Dan Terawat,Jakarta Timur,1,1,21 m²," 295,000,000"
Dijual Apartemen Marbella Tipe 2 Kamar Tidur Kondisi Fully Furnished,"Bangka, Jakarta Selatan",2,1,66 m²," 1,100,000,000"
Dijual Unit Apartemen Gandaria Heights,"Gandaria, Jakarta Selatan",3,2,155 m²," 5,000,000,000"
Dijual Cepat Unit 2 Kamar di Thamrin Perabot Lengkap Bagus Sekali,"Thamrin, Jakarta Pusat",2,1,76 m²," 1,700,000,000"
"Apartemen Bassura city siap huni full furnished 2 kamar, Jatinegara","Jatinegara, Jakarta Timur",2,1,34 m²," 580,000,000"
Disewakan Apartemen Bellagio Residence Tipe 2 Kamar Tidur Full Furnish,"Kuningan Barat, Jakarta Selatan",2,1,84 m²," 2,000,000,000"
An Ode to Elegance Which Provide A Relaxed Way of Living,"Thamrin, Jakarta Pusat",4,5,640 m²," 44,800,000,000"
DIJUAL GREEN PRAMUKA CITY 2 BEDROOM MURAH BANGET,"Cempaka Putih, Jakarta Pusat",2,1,33 m²," 420,000,000"
APARTEMEN NORTHLAN ANCOL STRATEGIS 2 KAMAR MURAH KOSONGAN,"Pademangan, Jakarta Utara",2,1,41 m²," 450,000,000"
APARTEMEN JAKARTA BARAT TANPA DP 0%,"Cengkareng Timur, Jakarta Barat",1,1,32 m²," 500,000,000"
Dijual Aparthouse Kebon Jeruk 3lt dgn 2KT hny 700jtaan bs KPR 30 thn di Interkon,"Kebon Jeruk, Jakarta Barat",2,2,30 m²," 700,000,000"
Apartemen di kebon jeruk jakarta barat,"Kebon Jeruk, Jakarta Barat",2,2,87 m²," 1,750,000,000"
Dijual Apartemen Essence Darmawangsa 3 Kamar Tidur Kondisi Fully Furnished,"Cipete Selatan, Jakarta Selatan",3,2,136 m²," 3,350,000,000"
Apartemen Gading Nias,Jakarta Utara,2,1,30 m²," 310,000,000"
Dijual Super Penthouse 2 Lantai Apartemen Kemang Village Jaksel,"Mampang Prapatan, Jakarta Selatan",5,4,390 m²," 14,000,000,000"
Dijual Apartemen Strategis di Aston Marina Ancol Lokasi strategis,"Ancol, Jakarta Utara",2,1,45 m²," 480,000,000"
apartemen jakarta,"Kelapa Gading, Jakarta Utara",3,1,74 m²," 1,300,000,000"
